SC2,SC3,SC4,B2b,H9New,H10,H11,H12,Z1,Z5,Z10,WEIGHT
7,1,4212,4,4,1,4.0,3.0,3,8,1,0.71
7,1,4212,3,3,1,3.0,3.0,6,3,2,0.71
7,1,4211,3,3,1,3.0,2.0,6,97,2,0.71
7,1,4208,3,4,1,4.0,3.0,6,8,1,0.71
7,1,4207,2,2,1,2.0,2.0,6,3,1,0.71
7,1,4207,5,6,1,5.0,4.0,6,8,2,0.71
7,1,4207,3,4,1,4.0,3.0,6,3,2,0.71
7,1,4207,2,6,1,3.0,4.0,6,8,2,0.71
7,1,4207,4,4,1,4.0,3.0,6,8,2,0.71
7,1,4184,4,4,1,4.0,4.0,6,8,2,0.71
7,1,4164,2,6,2,2.0,2.0,6,8,2,0.71
7,1,4160,4,4,1,4.0,4.0,6,8,2,0.71
7,1,4152,6,6,1,3.0,3.0,6,8,2,0.71
7,1,4131,4,4,2,4.0,4.0,6,8,2,0.71
7,1,4118,2,3,1,3.0,3.0,6,8,2,0.71
7,1,4118,3,4,2,4.0,3.0,6,8,2,0.71
7,1,4118,4,3,1,4.0,4.0,6,8,2,0.71
7,1,4116,3,4,2,4.0,4.0,6,8,1,0.71
7,1,4114,4,3,1,,,6,8,2,0.71
7,1,4109,2,6,1,4.0,3.0,6,3,2,0.71
7,1,4107,5,6,1,4.0,4.0,6,8,2,0.71
7,1,4106,5,3,1,4.0,3.0,6,3,2,0.71
7,1,4105,3,3,1,3.0,3.0,6,1,2,0.71
7,1,4074,3,2,1,2.0,2.0,6,8,2,0.71
7,1,4074,2,3,1,3.0,3.0,6,8,2,0.71
7,1,4074,4,6,1,4.0,4.0,6,97,2,0.71
7,1,4069,5,3,1,4.0,4.0,6,3,2,0.71
7,1,4068,3,4,1,4.0,4.0,6,8,2,0.71
7,1,4066,5,5,2,5.0,5.0,6,3,2,0.71
7,1,4061,4,3,1,3.0,4.0,6,3,2,0.71
7,1,4055,4,3,1,4.0,3.0,6,7,2,0.71
7,1,4053,4,4,1,4.0,4.0,6,8,2,0.71
7,1,4053,4,4,2,3.0,4.0,6,3,2,0.71
7,1,4053,4,4,1,5.0,5.0,6,3,2,0.71
7,1,4037,4,4,2,4.0,4.0,6,8,2,0.71
7,1,4035,3,2,1,2.0,4.0,6,8,1,0.71
7,1,4034,3,6,2,4.0,3.0,6,8,1,0.71
7,1,4034,3,4,1,4.0,3.0,6,8,2,0.71
7,1,4031,4,5,2,5.0,4.0,6,97,2,0.71
7,1,4018,4,4,1,4.0,4.0,6,8,2,0.71
7,1,4017,5,4,1,4.0,5.0,3,8,2,0.71
7,1,4017,4,4,2,4.0,4.0,6,8,2,0.71
7,1,4007,4,4,1,4.0,3.0,6,8,2,0.71
7,1,4006,3,1,1,1.0,2.0,6,8,2,0.71
6,1,4567,4,4,1,4.0,3.0,6,8,1,0.96
6,1,4563,3,4,1,3.0,3.0,6,7,2,0.96
6,1,4510,5,4,1,4.0,3.0,6,8,2,0.96
6,1,4510,3,1,2,2.0,2.0,6,7,2,0.96
6,1,4509,1,3,1,3.0,3.0,6,8,2,0.96
6,1,4508,6,4,1,4.0,4.0,6,8,2,0.96
6,1,4501,4,4,1,,,6,3,2,0.96
6,1,4500,4,3,1,4.0,4.0,6,8,2,0.96
6,1,4500,3,3,1,4.0,2.0,6,7,2,0.96
6,1,4500,3,4,2,3.0,3.0,6,2,2,0.96
6,1,4306,4,4,1,4.0,4.0,6,5,2,0.96
6,1,4305,5,5,1,5.0,5.0,4,1,2,0.96
6,1,4280,3,6,1,3.0,3.0,6,8,2,0.96
6,1,4209,1,1,2,2.0,2.0,6,8,2,0.96
6,1,4178,5,4,1,4.0,4.0,6,3,1,0.96
6,1,4169,5,5,1,5.0,5.0,5,8,2,0.96
6,1,4164,2,2,1,3.0,3.0,6,3,2,0.96
6,1,4163,2,4,1,3.0,4.0,6,3,2,0.96
6,1,4152,5,4,1,2.0,4.0,6,8,2,0.96
6,1,4127,3,4,1,3.0,3.0,6,8,1,0.96
6,1,4127,3,4,1,3.0,4.0,4,3,2,0.96
6,1,4125,1,1,1,3.0,2.0,6,8,2,0.96
6,1,4119,4,4,1,4.0,4.0,6,8,2,0.96
6,1,4104,3,4,1,4.0,3.0,6,2,2,0.96
6,1,4055,4,4,1,4.0,4.0,6,8,2,0.96
6,1,4032,5,4,1,4.0,4.0,6,8,2,0.96
6,1,4020,2,3,1,3.0,2.0,4,8,2,0.96
6,1,4020,4,3,1,4.0,4.0,6,8,2,0.96
6,1,4019,5,5,1,4.0,3.0,6,8,2,0.96
6,1,4019,5,5,1,5.0,5.0,6,8,2,0.96
6,1,4018,4,6,1,4.0,4.0,6,8,2,0.96
6,1,4017,5,5,1,4.0,5.0,6,7,2,0.96
6,1,4014,4,4,1,4.0,4.0,6,7,2,0.96
6,1,4014,5,4,1,4.0,4.0,6,8,2,0.96
6,1,4013,5,2,1,5.0,2.0,6,7,2,0.96
6,1,4000,4,3,1,4.0,4.0,4,8,2,0.96
4,1,4285,2,2,1,1.0,2.0,5,5,2,0.99
4,1,4216,5,4,1,3.0,3.0,6,6,2,0.99
4,1,4209,3,4,1,4.0,3.0,6,6,2,0.99
4,1,4173,4,5,1,5.0,4.0,6,3,2,0.99
4,1,4170,1,2,2,2.0,2.0,6,6,2,0.99
4,1,4170,3,4,1,4.0,3.0,5,5,2,0.99
4,1,4132,3,2,1,2.0,3.0,6,3,1,0.99
4,1,4122,3,3,1,3.0,2.0,5,1,2,0.99
4,1,4006,4,4,1,4.0,4.0,6,1,2,0.99
4,1,4005,3,4,1,4.0,3.0,4,2,2,0.99
4,1,4005,3,3,1,3.0,3.0,5,2,2,0.99
4,1,4000,3,3,1,3.0,2.0,3,6,1,0.99
4,1,4877,3,2,1,3.0,2.0,3,6,2,1.0
4,1,4870,5,3,1,4.0,4.0,3,2,2,1.0
4,1,4869,4,3,1,4.0,4.0,3,3,2,1.0
4,1,4817,2,6,1,4.0,4.0,5,6,2,1.0
4,1,4812,3,3,1,3.0,3.0,6,3,2,1.0
4,1,4810,3,2,1,2.0,3.0,6,8,2,1.0
4,1,4703,4,5,2,4.0,3.0,6,97,2,1.0
4,1,4702,4,4,1,4.0,3.0,5,4,2,1.0
4,1,4680,4,4,1,4.0,3.0,6,6,2,1.0
4,1,4350,4,3,1,4.0,4.0,6,3,2,1.0
4,1,4350,4,4,1,4.0,4.0,6,3,2,1.0
3,1,4209,4,5,2,4.0,3.0,6,1,2,1.38
3,1,4163,1,1,2,1.0,2.0,6,5,2,1.38
3,1,4132,4,3,1,3.0,4.0,6,2,2,1.38
3,1,4035,5,5,1,3.0,2.0,6,1,2,1.38
3,1,4020,5,4,1,4.0,3.0,6,4,2,1.38
3,1,4670,4,4,1,4.0,4.0,6,1,2,1.56
3,1,4610,4,4,1,,,6,1,2,1.56
5,1,4870,5,4,1,4.0,4.0,2,3,2,1.65
5,1,4870,4,3,1,4.0,3.0,6,3,2,1.65
5,1,4814,2,2,1,3.0,3.0,6,3,2,1.65
5,1,4740,2,3,1,2.0,3.0,6,8,2,1.65
5,1,4701,3,3,1,3.0,3.0,6,3,2,1.65
5,1,4680,3,5,1,4.0,3.0,6,6,2,1.65
5,1,4680,6,3,1,3.0,3.0,5,3,2,1.65
5,1,4670,1,1,1,1.0,2.0,6,3,2,1.65
5,1,4655,4,4,1,4.0,4.0,6,6,2,1.65
5,1,4655,4,3,1,4.0,4.0,6,97,2,1.65
