SC2,SC3,SC4,Z1,Z5,Z10
5,1,4810,6,3,2
5,1,4740,6,6,2
5,1,4701,3,8,2
5,1,4701,6,5,2
5,1,4670,6,8,2
5,1,4570,6,6,2
5,1,4350,6,3,2
5,1,4350,6,3,2
5,1,4077,6,7,2
5,1,4077,6,7,2
5,1,4511,6,2,2
5,1,4509,2,1,1
5,1,4507,4,7,2
5,1,4500,6,3,2
5,1,4305,6,1,2
5,1,4272,6,5,1
5,1,4228,6,6,2
5,1,4217,5,8,2
5,1,4215,6,6,2
5,1,4211,4,7,2
5,1,4170,6,7,2
5,1,4170,6,8,2
5,1,4115,6,7,1
5,1,4069,6,5,2
5,1,4053,6,2,2
5,1,4035,6,7,2
5,1,4020,6,3,2
2,1,4510,6,1,1
2,1,4217,3,2,2
2,1,4122,6,2,2
2,1,4105,6,2,2
2,1,4104,4,4,2
2,1,4104,4,4,2
2,1,4065,6,7,2
2,1,4007,6,1,2
2,1,4812,2,3,2
2,1,4702,6,7,2
2,1,4701,3,1,2
2,1,4078,6,7,1
3,2,4879,4,4,1
3,2,4879,6,1,2
3,2,4870,3,4,1
3,2,4870,2,4,1
3,2,4870,3,4,1
3,2,4870,6,4,2
3,2,4870,3,4,2
3,2,4870,6,1,2
3,2,4818,6,9,1
3,2,4818,5,4,2
3,2,4818,6,3,2
3,2,4818,6,3,2
3,2,4817,6,6,2
3,2,4817,6,5,2
3,2,4817,6,5,2
3,2,4814,6,3,2
3,2,4812,4,7,2
3,2,4812,3,3,2
3,2,4810,6,4,2
3,2,4810,6,3,2
3,2,4740,3,5,1
3,2,4740,6,3,2
3,2,4740,2,5,2
3,2,4740,6,4,2
3,2,4740,2,4,2
3,2,4740,3,6,2
3,2,4703,6,5,2
3,2,4703,6,4,2
3,2,4701,6,7,2
3,2,4701,6,5,2
3,2,4701,6,3,2
3,2,4701,6,1,2
3,2,4680,2,2,2
3,2,4680,5,5,2
3,2,4680,6,5,2
3,2,4655,6,4,2
3,2,4570,6,3,2
3,2,4350,6,6,2
3,2,4350,5,5,2
3,2,4350,6,3,2
3,2,4350,5,3,2
3,2,4307,3,1,2
3,2,4301,6,1,2
3,2,4300,3,5,2
3,2,4078,4,4,1
3,2,4078,6,3,2
3,2,4078,4,3,2
3,2,4077,6,3,2
3,2,4566,1,1,2
3,2,4560,5,3,2
3,2,4557,3,6,2
3,2,4556,6,3,2
3,2,4551,3,4,2
3,2,4520,3,6,2
3,2,4511,6,4,2
3,2,4510,4,5,2
3,2,4509,4,3,1
3,2,4503,6,3,2
3,2,4503,6,4,2
3,2,4502,6,5,2
3,2,4500,6,8,1
3,2,4306,6,9,2
3,2,4306,6,4,2
3,2,4305,6,5,1
3,2,4305,6,6,2
3,2,4226,5,3,1
3,2,4226,6,3,2
3,2,4218,4,9,2
3,2,4218,4,6,2
3,2,4217,6,3,2
3,2,4216,6,3,2
3,2,4215,3,5,2
3,2,4215,6,1,2
3,2,4212,1,4,2
3,2,4210,6,5,2
3,2,4209,6,5,2
3,2,4208,4,5,2
3,2,4207,4,4,1
3,2,4207,6,3,2
3,2,4205,5,5,1
3,2,4179,5,3,2
3,2,4178,6,4,2
3,2,4165,4,4,2
3,2,4165,6,5,2
3,2,4165,6,7,2
3,2,4159,4,5,2
3,2,4159,4,5,2
3,2,4158,6,3,2
3,2,4157,6,3,2
3,2,4154,6,5,2
3,2,4152,5,3,2
3,2,4152,3,3,2
3,2,4151,6,1,2
